Date,State,District,Soil_Type,pH,EC,N,P,K,OC
19-06-2024,Odisha,Bhubaneswar,Red,6.3,0.34,140,29,185,0.56
31-12-2015,West Bengal,Howrah,Alluvial,6,0.4,236,21,322,1.17
06-06-2022,Rajasthan,Jodhpur,Sandy,6.4,0.56,67,14,84,0.57
09-06-2016,Maharashtra,Mumbai,Red,6.4,0.4,161,23,218,0.47
09-07-2022,Delhi,New Delhi,Loamy,6.9,1.33,136,28,346,1.23
28-08-2018,Jharkhand,Ranchi,Loamy,6.4,0.34,229,29,348,1.08
01-06-2017,Odisha,Bhubaneswar,Red,6.4,0.04,78,12,110,0.56
27-10-2017,Chandigarh,Chandigarh,Loamy,7.3,0.96,150,40,278,1.04
23-10-2017,Sikkim,Gangtok,Loamy,6.6,0.53,170,37,302,0.83
05-07-2019,Assam,Kamrup,Laterite,5,0.32,143,15,178,0.97
07-07-2017,Nagaland,Kohima,Loamy,6.1,0.73,187,21,317,1.19
29-08-2022,Karnataka,Mysore,Laterite,4.2,0.74,97,15,156,0.68
07-08-2021,Arunachal Pradesh,Itanagar,Loamy,7.4,1.41,211,45,238,0.94
10-11-2019,Kerala,Ernakulam,Red,5.8,0.75,131,18,250,0.97
12-03-2019,Goa,North Goa,Loamy,5.9,0.37,200,18,274,1.18
28-02-2024,Andaman and Nicobar Islands,Port Blair,Loamy,7.1,1.13,181,46,202,1.03
17-10-2024,Chandigarh,Chandigarh,Loamy,6.6,0.96,190,44,228,1.13
24-10-2022,Arunachal Pradesh,Itanagar,Loamy,6,0.57,213,33,254,0.88
18-08-2022,Himachal Pradesh,Kangra,Loamy,7.5,0.81,265,21,355,0.94
21-03-2020,Arunachal Pradesh,Itanagar,Loamy,5.8,0.13,228,33,253,0.95
14-06-2023,Andaman and Nicobar Islands,Port Blair,Loamy,7.3,1.26,241,25,331,0.77
30-04-2018,Delhi,New Delhi,Loamy,6.3,0.24,231,28,247,1.06
13-07-2019,Jharkhand,Ranchi,Loamy,6.9,0.85,207,36,264,1.27
29-04-2016,Puducherry,Puducherry,Loamy,6.7,0.35,156,29,306,0.84
06-09-2020,Haryana,Faridabad,Alluvial,7.1,0.48,177,47,259,1.27
14-12-2016,Delhi,New Delhi,Loamy,7,0.67,267,41,359,0.81
28-11-2017,Goa,North Goa,Loamy,7.1,0.76,134,41,357,0.96
30-05-2020,Odisha,Bhubaneswar,Red,5.1,0.5,101,20,223,0.39
20-07-2018,Lakshadweep,Kavaratti,Loamy,6.9,1.14,240,43,272,1.2
08-06-2018,Uttarakhand,Dehradun,Loamy,6.5,0.56,151,27,189,0.88
03-11-2020,Andhra Pradesh,Guntur,Alluvial,6.8,1.02,242,33,296,1.36
15-09-2024,Delhi,New Delhi,Loamy,7.2,1.63,155,25,377,1.05
06-05-2015,Lakshadweep,Kavaratti,Loamy,6.1,0.42,253,41,247,0.92
30-10-2022,Chhattisgarh,Raipur,Loamy,7,0.59,140,23,253,0.75
20-06-2016,Mizoram,Aizawl,Loamy,6.8,0.51,192,37,194,0.75
01-01-2021,Haryana,Gurgaon,Sandy,6.3,0.09,143,13,77,0.64
05-11-2024,Puducherry,Puducherry,Loamy,5.4,0.23,120,19,200,0.74
28-12-2023,Himachal Pradesh,Kangra,Loamy,6.6,0.45,232,33,340,0.71
03-09-2020,Tamil Nadu,Madurai,Red,5.8,0.26,103,12,173,0.94
23-05-2019,Jammu and Kashmir,Srinagar,Loamy,6,0.15,228,21,215,0.85
27-06-2024,Gujarat,Rajkot,Black,8,1.23,154,22,351,1.06
08-03-2015,Manipur,Imphal,Loamy,6,0.63,192,44,327,0.8
21-08-2015,Punjab,Patiala,Alluvial,6.3,0.62,232,21,329,1.24
26-11-2020,Tripura,Agartala,Loamy,7.1,1.38,223,24,352,0.81
15-03-2018,Assam,Kamrup,Laterite,6.3,1.01,166,14,127,0.59
28-11-2020,Telangana,Hyderabad,Red,5.8,0.65,106,17,229,0.52
25-03-2021,Puducherry,Puducherry,Loamy,6.8,0.98,195,21,351,1.08
21-04-2015,Sikkim,Gangtok,Loamy,7.1,0.71,133,21,206,1.2
02-02-2019,Karnataka,Hubli,Black,6.7,0.42,222,38,191,0.61
12-09-2020,Haryana,Faridabad,Sandy,6.9,0.68,138,15,125,0.56
14-09-2016,Jammu and Kashmir,Srinagar,Loamy,6.8,0.53,177,24,178,0.73
14-07-2025,Haryana,Hisar,Alluvial,6.3,0.15,209,42,288,1
02-06-2024,Uttarakhand,Dehradun,Loamy,7,0.67,227,29,333,1.28
27-08-2022,West Bengal,Darjeeling,Alluvial,6.6,0.37,156,35,346,1.12
27-03-2022,Puducherry,Puducherry,Loamy,6.8,0.96,237,43,345,1.15
04-12-2024,Lakshadweep,Kavaratti,Loamy,7.2,0.83,136,39,216,0.86
08-10-2021,Manipur,Imphal,Loamy,5.4,0.58,157,11,246,1.06
14-04-2022,Mizoram,Aizawl,Loamy,6.4,0.07,180,34,219,0.67
22-03-2019,Delhi,New Delhi,Loamy,7.4,1.06,150,43,302,1.23
02-07-2022,Meghalaya,Shillong,Loamy,7.9,1.39,141,25,216,0.94
29-07-2018,Andaman and Nicobar Islands,Port Blair,Loamy,7.3,0.93,127,27,308,0.8
14-04-2024,Himachal Pradesh,Kangra,Loamy,6.9,0.68,176,36,205,1.11
28-10-2019,Delhi,New Delhi,Loamy,7.2,0.95,232,40,362,1.27
15-08-2024,Andaman and Nicobar Islands,Port Blair,Loamy,7.9,1.56,221,23,228,1.28
29-05-2020,Madhya Pradesh,Bhopal,Black,7.3,0.55,151,27,252,1.18
20-06-2021,Rajasthan,Udaipur,Sandy,6.8,1.05,94,24,151,0.59
26-05-2017,Rajasthan,Jaipur,Desert,7.2,0.27,58,11,115,0.51
12-06-2020,Chhattisgarh,Raipur,Loamy,6.3,0.46,131,24,197,1
09-06-2025,Jharkhand,Ranchi,Loamy,7.1,1.48,176,23,265,0.98
10-06-2024,Goa,North Goa,Loamy,7.5,1.49,200,41,221,1.31
05-08-2018,Madhya Pradesh,Bhopal,Red,5.5,0.25,145,29,217,0.62
31-12-2018,Andhra Pradesh,Visakhapatnam,Alluvial,6.7,0.45,272,41,311,1.26
02-06-2022,Punjab,Patiala,Alluvial,5.9,0.2,273,30,388,0.91
13-05-2021,Haryana,Hisar,Alluvial,6.9,0.66,292,30,299,0.95
30-09-2019,Jharkhand,Ranchi,Loamy,6.8,1.17,270,19,325,0.9
25-05-2019,Himachal Pradesh,Mandi,Loamy,6.2,0.63,233,27,188,1.25
07-03-2019,Assam,Kamrup,Alluvial,6.4,0.15,197,34,296,0.91
25-04-2022,Karnataka,Mysore,Black,8.2,1.13,194,25,248,0.79
07-01-2022,Kerala,Kozhikode,Red,4.8,0.53,129,10,173,0.57
14-05-2024,Jharkhand,Ranchi,Loamy,8.5,2.49,222,47,350,1.42
30-11-2022,Tripura,Agartala,Loamy,7.5,0.89,174,46,301,0.97
18-08-2024,Tripura,Agartala,Loamy,6.5,0.01,144,29,273,1.15
06-09-2025,Karnataka,Belgaum,Laterite,6.8,1.77,106,22,210,0.74
25-07-2021,Ladakh,Leh,Sandy Loam,7,0.1,62,9,150,0.52
19-06-2019,Uttar Pradesh,Lucknow,Alluvial,7,1.01,216,51,274,0.98
24-03-2025,Maharashtra,Nagpur,Black,8,1.72,215,43,347,0.87
10-11-2022,Andhra Pradesh,Chittoor,Black,8.8,1.64,178,43,245,1
06-03-2018,Bihar,Gaya,Alluvial,7.3,0.59,186,29,269,1.43
28-01-2017,Chandigarh,Chandigarh,Loamy,6.8,0.44,221,33,265,1.26
25-01-2023,Kerala,Ernakulam,Laterite,5,0.48,115,21,161,0.5
31-08-2015,Jammu and Kashmir,Srinagar,Loamy,6.2,0.66,158,29,224,1.05
03-02-2022,Madhya Pradesh,Bhopal,Red,6,0.06,148,24,106,0.78
29-11-2017,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.5,0.26,250,16,195,1
17-08-2015,Tamil Nadu,Madurai,Red,6.3,0.56,111,27,243,0.7
08-02-2022,Bihar,Gaya,Alluvial,6.2,0.5,164,50,248,1.26
08-07-2017,Meghalaya,Shillong,Loamy,6.7,0.95,157,40,206,1.27
31-05-2018,Gujarat,Vadodara,Black,6.7,0.57,230,19,184,0.94
06-01-2015,Sikkim,Gangtok,Loamy,6.3,0.41,212,26,205,1.02
16-04-2024,Andaman and Nicobar Islands,Port Blair,Loamy,7.4,1.92,203,34,248,0.85
12-04-2016,Karnataka,Belgaum,Laterite,6.2,0.26,144,24,146,0.69
22-10-2019,Delhi,New Delhi,Loamy,6.9,0.72,189,41,310,0.88
16-03-2015,Andaman and Nicobar Islands,Port Blair,Loamy,6.7,0.52,121,39,202,1.01
04-01-2015,Kerala,Ernakulam,Red,6.1,0.7,129,14,192,0.54
14-02-2020,Gujarat,Vadodara,Black,6,0.31,97,23,223,0.65
07-10-2016,Uttar Pradesh,Lucknow,Sandy,6.9,0.29,52,19,80,0.52
28-04-2015,Himachal Pradesh,Kangra,Sandy Loam,6.5,0.39,109,10,81,0.76
07-01-2023,Puducherry,Puducherry,Loamy,6.2,0.27,160,21,321,0.75
18-06-2019,Madhya Pradesh,Bhopal,Red,6.1,0.52,179,10,145,0.47
26-12-2021,Ladakh,Leh,Sandy Loam,7.6,0.63,83,10,124,0.89
14-07-2020,Tripura,Agartala,Loamy,6.5,0.21,147,24,309,1.01
04-08-2017,Telangana,Warangal,Red,6.1,0.95,204,14,188,0.63
06-03-2022,Mizoram,Aizawl,Loamy,6.9,0.86,215,42,256,1.04
04-01-2019,Arunachal Pradesh,Itanagar,Loamy,6.6,0.61,148,46,244,0.8
13-07-2015,Madhya Pradesh,Bhopal,Red,5.7,0.36,85,20,132,0.71
26-04-2017,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.7,0.29,183,24,222,1.06
25-07-2022,Andaman and Nicobar Islands,Port Blair,Loamy,5.9,0.15,138,20,202,0.95
16-11-2018,West Bengal,Howrah,Alluvial,6.6,0.34,290,20,343,1
25-06-2023,Uttarakhand,Dehradun,Loamy,6.7,0.03,176,23,351,1.25
29-12-2018,Manipur,Imphal,Loamy,6.8,0.52,148,45,264,0.79
29-01-2021,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,5.6,0.26,195,22,248,0.73
25-03-2024,Manipur,Imphal,Loamy,6.6,0.06,236,23,256,0.83
27-07-2019,Delhi,New Delhi,Loamy,6.8,0.64,165,22,301,0.81
01-07-2021,Punjab,Ludhiana,Alluvial,6.5,0.06,163,37,280,0.91
04-12-2018,Kerala,Kozhikode,Red,6,0.52,92,30,201,0.47
15-02-2018,Himachal Pradesh,Mandi,Sandy Loam,6.7,0.05,132,19,128,0.5
23-11-2022,Tamil Nadu,Madurai,Red,6.5,1.07,104,20,216,0.97
16-12-2019,Haryana,Gurgaon,Alluvial,6.8,0.27,207,19,330,1.3
24-12-2016,Lakshadweep,Kavaratti,Loamy,5.9,0.53,213,26,314,0.95
13-08-2015,Maharashtra,Nashik,Red,5.8,0.5,168,29,157,0.44
15-06-2016,Uttarakhand,Dehradun,Loamy,7.4,0.81,273,19,246,0.8
23-04-2015,Tripura,Agartala,Loamy,6.2,0.59,201,36,235,0.94
27-12-2020,Madhya Pradesh,Bhopal,Red,5.5,0.51,131,28,196,0.64
12-07-2016,Rajasthan,Jaipur,Desert,7.1,0.24,116,12,83,0.29
10-08-2020,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.9,0.28,158,20,206,1.26
07-11-2020,Chhattisgarh,Raipur,Loamy,8,1.25,129,37,288,1.07
15-10-2016,Madhya Pradesh,Bhopal,Black,6.7,0.7,144,22,197,0.81
16-11-2015,West Bengal,Howrah,Red,6.8,0.67,149,30,249,0.61
23-04-2019,Tripura,Agartala,Loamy,6.1,0.36,213,19,296,0.78
03-01-2020,Jammu and Kashmir,Srinagar,Loamy,5.7,0.28,255,21,184,0.69
01-04-2020,Gujarat,Rajkot,Sandy,6.2,0.15,61,5,87,0.55
19-05-2015,Lakshadweep,Kavaratti,Loamy,6.5,0.46,266,16,222,1.19
22-10-2024,Assam,Dibrugarh,Alluvial,6.3,0.71,286,36,235,1.02
02-12-2022,Sikkim,Gangtok,Loamy,5.8,0.03,247,23,231,0.93
19-07-2020,Haryana,Karnal,Alluvial,6.7,0.42,197,36,273,1.28
25-04-2021,Mizoram,Aizawl,Loamy,6.2,0.44,209,42,192,0.95
02-04-2025,Uttarakhand,Dehradun,Loamy,5.8,0.1,243,37,287,1.01
20-06-2017,Delhi,New Delhi,Loamy,7,0.73,198,37,247,0.79
20-11-2016,Mizoram,Aizawl,Loamy,6.8,0.45,194,41,197,0.72
01-08-2020,Kerala,Kozhikode,Laterite,4.8,0.45,71,6,172,0.53
10-01-2015,Uttarakhand,Dehradun,Loamy,6.5,0.79,252,18,272,1.14
18-09-2015,Haryana,Faridabad,Alluvial,6.7,0.31,220,39,322,0.85
26-04-2020,Tamil Nadu,Chennai,Alluvial,6.5,1.17,177,31,361,1.13
01-08-2019,Andaman and Nicobar Islands,Port Blair,Loamy,6.6,0.47,266,23,298,0.76
28-01-2021,Punjab,Patiala,Alluvial,5.8,0.15,176,34,215,0.79
24-01-2023,Meghalaya,Shillong,Loamy,7.8,2.38,172,27,249,0.96
22-08-2020,Mizoram,Aizawl,Loamy,6.2,0.83,201,27,354,0.94
06-04-2018,Meghalaya,Shillong,Loamy,6.1,0.39,165,30,297,1.15
02-03-2025,Odisha,Bhubaneswar,Laterite,5.3,0.49,75,14,88,0.47
08-06-2019,Haryana,Hisar,Sandy,5.9,0.58,140,12,40,0.47
17-11-2015,Andaman and Nicobar Islands,Port Blair,Loamy,6.7,0.65,200,30,246,0.86
04-09-2018,Ladakh,Leh,Sandy Loam,6.2,0.12,145,18,155,0.8
25-06-2019,Uttar Pradesh,Kanpur,Alluvial,7.4,0.67,178,25,318,1.07
04-07-2021,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.7,0.27,125,36,214,1.09
03-10-2022,Kerala,Thrissur,Red,8.3,2.74,201,29,234,0.68
25-09-2022,Mizoram,Aizawl,Loamy,7.8,1.56,158,44,250,1.29
17-06-2020,Manipur,Imphal,Loamy,6.4,0.13,123,20,333,1.16
06-02-2023,Himachal Pradesh,Shimla,Loamy,5.9,0.35,214,20,313,1.03
27-04-2020,Kerala,Thrissur,Laterite,6.7,1.76,136,19,114,0.97
30-11-2024,Lakshadweep,Kavaratti,Loamy,7,0.62,138,27,339,1.3
31-07-2020,Tripura,Agartala,Loamy,6.5,0.85,213,17,281,1.2
22-07-2024,Nagaland,Kohima,Loamy,6.8,0.81,150,42,265,1.23
25-01-2025,Manipur,Imphal,Loamy,6.3,0.24,246,26,318,0.73
23-01-2018,Lakshadweep,Kavaratti,Loamy,7.5,0.83,221,30,257,0.81
24-08-2025,Goa,North Goa,Loamy,7.1,1.66,249,31,348,0.84
24-05-2019,Jammu and Kashmir,Srinagar,Loamy,7.4,0.87,243,30,339,1.06
23-06-2021,Puducherry,Puducherry,Loamy,7.1,0.53,216,32,294,1.14
24-08-2015,Chhattisgarh,Raipur,Loamy,6.1,0.61,261,18,333,1.18
23-05-2020,Nagaland,Kohima,Loamy,6.4,0.2,182,43,211,1.02
30-11-2015,Meghalaya,Shillong,Loamy,7.2,0.55,203,16,352,0.8
23-03-2020,Haryana,Gurgaon,Sandy,7.1,0.78,97,17,127,0.43
11-01-2016,Tripura,Agartala,Loamy,6.7,0.53,172,22,206,0.94
31-08-2024,Lakshadweep,Kavaratti,Loamy,6.6,0.33,217,45,354,1.2
06-03-2018,Uttar Pradesh,Varanasi,Sandy,6.2,0.5,128,17,133,0.42
20-03-2022,Sikkim,Gangtok,Loamy,5.9,0.52,217,14,287,1.18
20-04-2019,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.3,0.63,195,29,308,0.91
04-01-2022,Jharkhand,Ranchi,Loamy,5.7,0.03,238,12,192,0.76
12-08-2018,Kerala,Kozhikode,Red,6,0.21,99,19,147,0.66
14-04-2024,West Bengal,Kolkata,Alluvial,6.1,0.12,170,18,308,0.99
13-02-2023,Goa,North Goa,Loamy,5.8,0.93,140,27,195,0.85
22-12-2024,Punjab,Ludhiana,Alluvial,7.2,0.95,274,29,390,1.4
30-01-2020,Chhattisgarh,Raipur,Loamy,5.8,0.04,204,14,334,0.71
04-10-2018,Tamil Nadu,Coimbatore,Red,5.7,0.1,109,26,189,0.52
16-09-2025,Himachal Pradesh,Shimla,Sandy Loam,7.3,0.7,125,18,116,0.54
17-07-2025,Andaman and Nicobar Islands,Port Blair,Loamy,7,1.07,218,44,251,1.15
22-05-2017,Meghalaya,Shillong,Loamy,7,0.68,146,46,194,1.01
06-06-2018,Sikkim,Gangtok,Loamy,6.9,0.83,249,39,350,0.97
06-05-2021,Haryana,Gurgaon,Alluvial,8.1,1.35,263,27,216,1.43
26-01-2020,Punjab,Patiala,Alluvial,7.3,0.73,193,40,265,1.12
16-10-2022,Maharashtra,Nashik,Red,6.3,1.01,129,26,195,1.01
07-08-2018,Puducherry,Puducherry,Loamy,6.1,0.35,242,26,209,1
25-12-2016,Karnataka,Belgaum,Black,6.8,0.75,178,16,206,0.98
11-11-2023,Delhi,New Delhi,Loamy,6.3,0.82,229,30,347,0.95
14-08-2020,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,7,0.83,179,29,240,1.16
08-12-2022,Puducherry,Puducherry,Loamy,6,0.31,175,22,215,0.67
12-06-2024,Gujarat,Ahmedabad,Sandy,5.7,0.39,82,15,117,0.71
19-03-2015,Tamil Nadu,Madurai,Red,6.6,0.51,152,13,208,0.76
13-07-2024,Gujarat,Surat,Black,8.8,2.37,177,42,360,1.28
06-03-2022,Tripura,Agartala,Loamy,7,0.36,266,23,341,0.82
12-05-2015,Assam,Tinsukia,Alluvial,7,0.45,252,36,255,1.25
23-08-2016,Punjab,Ludhiana,Alluvial,6.3,0.58,150,36,279,1.01
08-11-2019,Puducherry,Puducherry,Loamy,8,1.6,244,34,268,0.81
01-12-2017,Chandigarh,Chandigarh,Loamy,6.5,0.77,182,29,230,0.87
06-11-2020,Mizoram,Aizawl,Loamy,6.6,0.68,208,39,317,1.17
15-09-2021,Jharkhand,Ranchi,Loamy,6.2,0.11,266,15,200,0.92
01-06-2021,Jammu and Kashmir,Srinagar,Loamy,6.9,0.79,206,21,205,0.9
07-02-2020,Punjab,Patiala,Alluvial,7.9,1.41,231,41,329,1.1
11-08-2018,Nagaland,Kohima,Loamy,7,1.16,218,19,350,0.93
07-09-2016,Uttarakhand,Dehradun,Loamy,6.2,0.43,236,37,308,1.26
06-11-2024,Ladakh,Leh,Sandy Loam,7.6,1.21,98,28,101,0.85
18-10-2022,Tamil Nadu,Madurai,Red,4.9,0.77,70,5,83,0.62
20-04-2025,Lakshadweep,Kavaratti,Loamy,7.4,1.15,162,19,336,1.27
25-02-2025,Jharkhand,Ranchi,Loamy,7.4,0.71,125,23,290,1.3
05-10-2021,Karnataka,Bangalore,Red,6.4,1.22,102,32,142,0.51
03-03-2020,Goa,North Goa,Loamy,7,1.01,210,39,281,1.16
12-11-2017,Puducherry,Puducherry,Loamy,7.1,0.66,131,28,293,0.81
28-07-2016,Ladakh,Leh,Sandy Loam,6.8,0.31,81,10,153,0.56
30-12-2020,Mizoram,Aizawl,Loamy,7.3,0.85,264,38,250,1
19-09-2017,Kerala,Ernakulam,Red,6.3,0.13,134,22,177,0.75
05-06-2022,Rajasthan,Jodhpur,Desert,6.4,0.72,93,7,55,0.49
01-01-2021,Odisha,Bhubaneswar,Laterite,5.3,0.41,109,14,158,0.53
02-06-2018,Assam,Cachar,Laterite,5.9,0.38,156,12,145,0.5
13-05-2023,Nagaland,Kohima,Loamy,5.7,0.01,186,16,245,0.75
17-05-2016,Odisha,Bhubaneswar,Red,5.9,0.64,147,27,214,0.79
20-06-2020,Goa,North Goa,Loamy,5.4,0.93,206,20,177,0.84
31-03-2017,Meghalaya,Shillong,Loamy,7.2,0.61,144,24,345,0.81
04-02-2025,Haryana,Gurgaon,Sandy,4.1,1.89,113,8,49,0.55
21-11-2020,Nagaland,Kohima,Loamy,7,0.42,148,29,318,1.18
08-07-2023,Kerala,Thrissur,Laterite,6.1,0.21,163,17,149,0.86
24-05-2020,Jharkhand,Ranchi,Loamy,6,0.24,147,18,225,0.68
17-07-2015,Gujarat,Rajkot,Sandy,6.7,0.2,62,15,134,0.31
28-07-2019,Andhra Pradesh,Krishna,Alluvial,6.7,0.57,185,24,384,1.51
11-03-2022,Ladakh,Leh,Sandy Loam,7.1,0.33,144,19,159,0.49
04-09-2021,Rajasthan,Udaipur,Sandy,7.8,1.31,143,17,141,0.88
17-04-2018,Telangana,Nizamabad,Black,6.3,0.48,175,29,318,0.81
14-02-2022,Tripura,Agartala,Loamy,6.6,1.14,172,46,208,1.03
11-01-2019,Gujarat,Rajkot,Sandy,5.9,0.55,110,9,58,0.38
11-10-2024,Mizoram,Aizawl,Loamy,6.4,0.65,177,29,280,1.18
14-06-2023,Andaman and Nicobar Islands,Port Blair,Loamy,6.2,0.48,141,17,288,0.81
05-07-2019,Chandigarh,Chandigarh,Loamy,5.6,0.08,191,33,287,0.74
20-08-2019,Gujarat,Ahmedabad,Black,7.4,0.58,170,35,217,0.69
05-08-2018,Delhi,New Delhi,Loamy,6.3,0.56,228,39,211,0.9
28-07-2020,Gujarat,Ahmedabad,Black,6.9,0.82,146,33,154,0.65
22-04-2016,Telangana,Nizamabad,Red,6.7,0.75,131,11,147,0.81
08-06-2018,Karnataka,Hubli,Laterite,5.2,0.3,76,17,105,0.54
11-07-2017,Himachal Pradesh,Shimla,Sandy Loam,6.4,0.05,68,20,66,0.59
24-02-2016,Kerala,Kozhikode,Laterite,5.8,0.48,132,12,140,0.69
13-01-2021,Jammu and Kashmir,Srinagar,Loamy,5.8,0.47,231,29,177,1.15
10-02-2022,Bihar,Purnia,Alluvial,6.9,0.32,156,39,273,1.43
13-08-2024,Ladakh,Leh,Sandy Loam,7.8,0.79,90,12,88,0.48
25-01-2018,West Bengal,Kolkata,Red,6.2,0.05,136,24,168,0.63
27-05-2023,Madhya Pradesh,Bhopal,Black,6.7,0.78,139,32,280,0.97
03-05-2023,Tamil Nadu,Chennai,Alluvial,6.2,0.17,278,19,233,1.21
14-07-2024,Odisha,Bhubaneswar,Red,5.9,0.04,83,20,213,0.95
08-08-2017,Telangana,Hyderabad,Red,5.8,0.75,132,11,197,0.5
25-05-2021,Meghalaya,Shillong,Loamy,5.6,0.3,169,27,206,1
01-07-2018,Delhi,New Delhi,Loamy,6.8,0.2,199,33,277,0.9
21-02-2021,Kerala,Thrissur,Laterite,5.4,0.27,71,17,156,0.87
30-03-2022,Puducherry,Puducherry,Loamy,6.2,0.84,217,26,226,1.05
01-02-2020,Gujarat,Ahmedabad,Sandy,6.7,0.27,89,9,121,0.48
02-11-2024,Karnataka,Mysore,Red,6.7,1.32,192,29,169,1.04
31-05-2016,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.7,0.65,230,38,218,1.08
17-07-2019,Andaman and Nicobar Islands,Port Blair,Loamy,6.4,0.51,155,15,292,1.12
09-02-2020,Madhya Pradesh,Bhopal,Black,6.9,1.15,119,18,164,0.88
22-12-2022,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,4.9,0.51,252,17,270,0.61
15-02-2018,Arunachal Pradesh,Itanagar,Loamy,5.8,0.17,136,39,291,1.08
24-10-2022,Manipur,Imphal,Loamy,6.5,0.19,202,27,229,1.07
16-04-2020,Karnataka,Mysore,Black,7.2,0.86,151,37,177,0.91
05-11-2023,Puducherry,Puducherry,Loamy,6.6,0.39,186,31,193,1.01
25-03-2017,Bihar,Purnia,Alluvial,6.7,1.08,194,35,206,1.07
25-03-2021,Karnataka,Mysore,Laterite,6.9,2.26,149,27,150,1.08
15-03-2020,Andaman and Nicobar Islands,Port Blair,Loamy,6.6,0.91,209,43,196,0.99
13-03-2021,Arunachal Pradesh,Itanagar,Loamy,6.4,0.47,145,45,222,1.28
15-03-2023,Meghalaya,Shillong,Loamy,6.1,0.18,175,25,243,1.03
25-04-2025,Madhya Pradesh,Bhopal,Black,7.8,0.81,242,40,164,0.64
24-08-2020,Mizoram,Aizawl,Loamy,7.3,1.36,238,38,229,1.32
03-11-2023,Rajasthan,Udaipur,Desert,6.5,1.02,82,0,53,0.14
08-03-2025,Odisha,Bhubaneswar,Red,5.6,0.41,160,12,101,0.86
15-02-2024,Gujarat,Ahmedabad,Black,6.2,0.22,171,34,312,1.01
03-11-2023,Haryana,Gurgaon,Sandy,6.9,0.85,111,19,69,0.4
25-09-2020,Madhya Pradesh,Bhopal,Red,6,0.15,148,16,217,0.79
29-06-2021,Arunachal Pradesh,Itanagar,Loamy,5.2,0.55,155,20,252,0.7
01-12-2022,Karnataka,Mysore,Red,7.1,0.82,143,28,184,0.67
14-04-2025,Telangana,Hyderabad,Black,9,1.87,231,21,350,1.29
10-05-2015,Goa,North Goa,Loamy,6.7,0.68,202,24,333,1.06
14-07-2024,Uttar Pradesh,Varanasi,Alluvial,8.9,2.28,198,42,429,1.35
05-04-2015,Gujarat,Rajkot,Black,7.7,0.79,200,24,211,0.99
28-04-2022,Odisha,Bhubaneswar,Red,7.4,1.31,174,25,168,0.74
03-09-2022,Goa,North Goa,Loamy,6.9,0.26,164,24,214,1.01
09-05-2020,Andaman and Nicobar Islands,Port Blair,Loamy,6.4,0.75,142,45,265,1.21
17-03-2024,Arunachal Pradesh,Itanagar,Loamy,6.6,0.35,249,16,296,0.83
04-03-2017,Odisha,Bhubaneswar,Red,5.4,0.04,123,28,180,0.74
09-01-2020,Bihar,Gaya,Alluvial,6,0.09,287,34,199,1.08
08-03-2024,Goa,North Goa,Loamy,5.4,0.07,160,20,234,1.2
17-10-2020,West Bengal,Howrah,Red,5.7,0.72,122,28,251,0.62
11-08-2019,Chandigarh,Chandigarh,Loamy,6.1,0.17,175,16,330,1.19
11-01-2015,Gujarat,Rajkot,Sandy,6.4,0.34,114,16,102,0.56
08-02-2024,Himachal Pradesh,Mandi,Loamy,7.7,1.75,176,38,271,1.15
09-02-2020,Tripura,Agartala,Loamy,7,1.18,136,34,293,0.98
29-12-2022,Delhi,New Delhi,Loamy,7.3,1.67,273,39,338,1.16
10-02-2022,Andhra Pradesh,Visakhapatnam,Black,6.9,0.63,140,18,203,0.94
11-10-2023,Goa,North Goa,Loamy,7.2,1.34,138,27,286,1.36
12-12-2016,Nagaland,Kohima,Loamy,6.4,0.59,188,16,270,0.74
01-09-2020,Jharkhand,Ranchi,Loamy,6.6,0.78,140,37,331,1.21
25-03-2017,West Bengal,Kolkata,Red,6,0.43,144,30,240,0.63
12-12-2015,Karnataka,Hubli,Red,5.8,0.37,104,20,226,0.72
07-06-2021,Delhi,New Delhi,Loamy,5.8,0.11,207,31,277,0.71
29-12-2015,Andhra Pradesh,Chittoor,Alluvial,6.8,0.63,287,39,335,1.3
09-09-2021,Madhya Pradesh,Bhopal,Black,7,0.77,228,23,332,0.98
15-03-2021,Punjab,Patiala,Alluvial,7.7,1.84,234,53,325,1.38
28-12-2020,Andhra Pradesh,Chittoor,Red,6.2,0.31,163,10,214,0.7
04-02-2025,Assam,Tinsukia,Laterite,5.7,0.7,137,13,194,0.95
25-03-2023,Nagaland,Kohima,Loamy,8.9,2.29,147,41,399,1.1
26-12-2023,Maharashtra,Pune,Black,6.7,0.02,108,23,269,0.83
11-09-2017,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.7,0.63,229,33,332,1.23
29-04-2023,Uttarakhand,Dehradun,Loamy,6.1,0.52,259,11,327,0.96
11-02-2025,Mizoram,Aizawl,Loamy,6.5,0.11,275,20,220,0.69
